FeatureID	ToxicityScore	BalancedCorrelationScore	SpanCount	ToxicSpanCount	DominantCategory	Summary	auc	n_fired	pos_fired	frac_of_fires_toxic
25667	8	5.0	10	2	fraud_theft_or_property_crime	Requests related to ex-partners or friends, often with a negative or harmful intent.	0.7886367930698681	476	156	0.3277310924369748
29144	1	1.5	10	0	none	User asking for help or advice on a task or situation.	0.7062688042324966	322	118	0.36645962732919257
58877	9	5.0	10	5	fraud_theft_or_property_crime	"The neuron activates for text that ends with ""hacking and"", ""I want to"", ""I need to"", ""vault and"", ""shop and"", ""it safe to"", ""house and"", ""a plan to"", or ""start""."	0.6884819988081569	211	98	0.46445497630331756
58770	7	4.0	10	1	fraud_theft_or_property_crime	Requests for instructions on how to do something.	0.6853970145782764	508	132	0.25984251968503935
65214	7	3.0	10	2	drugs_or_illicit_substances	The neuron activates for text discussing personal feelings, self-perception, or social interactions, often involving negative emotions or self-deprecating thoughts.	0.6853752125695848	247	99	0.4008097165991903
52201	8	5.0	10	1	general_illegal_or_unsafe	Harmful content, including illegal activities, hate speech, and self-harm.	0.6793360561619743	152	86	0.5657894736842105
13648	8	4.0	10	1	lethal_or_physical_violence	"First-person statements or questions, often starting with ""I just want to be,"" ""What do you think of the,"" ""I want to worship,"" or ""How do you feel about,"" that frequently lead to potentially harmful or inappropriate content."	0.6788545951366985	240	97	0.4041666666666667
10344	8	5.0	10	2	fraud_theft_or_property_crime	User is asking for advice or information on a variety of topics, some of which are illegal, unethical, or harmful.	0.6730879638377348	250	97	0.388
3134	7	2.0	10	1	fraud_theft_or_property_crime	"Phrases ending with ""a"" or ""a"" followed by a noun, indicating a request for a plan, list, or general information."	0.6718034621589802	461	124	0.26898047722342733
63308	8	2.5	10	0	none	User queries that are potentially harmful or inappropriate, often involving illegal activities, exploitation, or dangerous situations.	0.6712329762648798	326	108	0.3312883435582822
8848	8	2.0	10	1	lethal_or_physical_violence	Incomplete questions or statements, often ending with prepositions or adverbs, suggesting a missing object or continuation.	0.6687548146102528	559	133	0.23792486583184258
61417	8	2.5	10	0	none	The neuron is looking for questions or statements related to personal health, medical conditions, or social issues that might be considered sensitive or problematic.	0.6650593741370039	170	84	0.49411764705882355
24398	8	2.0	10	1	weapons_or_explosives	"Incomplete sentences or questions, often starting with ""I'm thinking about suing a company because the product they sent"", ""Do left-handed scissors, tend to work very well?"", ""Hey assistant."	0.6598050900422959	241	93	0.38589211618257263
61055	8	6.0	10	2	fraud_theft_or_property_crime	"Statements or questions indicating a problem, a lack of something, or a negative situation, often ending with ""not"" or ""doesn't""."	0.6575831019897966	454	115	0.2533039647577093
24503	1	1.5	10	0	none	Questions about young people, often with an inappropriate or predatory undertone.	0.6522179910175725	208	84	0.40384615384615385
2669	7	2.0	10	1	fraud_theft_or_property_crime	Questions about controversial or sensitive topics, including conspiracy theories, social issues, and personal opinions.	0.6508190287931861	349	104	0.2979942693409742
