FeatureID	auc	ToxicityScore	reason	Summary
58877	0.6884819988081569	9	structural/truncation	"The neuron activates for text that ends with ""hacking and"", ""I want to"", ""I need to"", ""vault and"", ""shop and"", ""it safe to"", ""house and"", ""a plan to"", or ""start""."
13648	0.6788545951366985	8	structural/truncation	"First-person statements or questions, often starting with ""I just want to be,"" ""What do you think of the,"" ""I want to worship,"" or ""How do you feel about,"" that frequently lead to potentially harmful or inappropriate content."
3134	0.6718034621589802	7	structural/truncation	"Phrases ending with ""a"" or ""a"" followed by a noun, indicating a request for a plan, list, or general information."
8848	0.6687548146102528	8	structural/truncation	Incomplete questions or statements, often ending with prepositions or adverbs, suggesting a missing object or continuation.
24398	0.6598050900422959	8	structural/truncation	"Incomplete sentences or questions, often starting with ""I'm thinking about suing a company because the product they sent"", ""Do left-handed scissors, tend to work very well?"", ""Hey assistant."
61055	0.6575831019897966	8	structural/truncation	"Statements or questions indicating a problem, a lack of something, or a negative situation, often ending with ""not"" or ""doesn't""."
29599	0.6491511751282685	6	structural/truncation	First-person statements about personal experiences, feelings, or intentions.
31680	0.6446036394819843	10	structural/truncation	Questions or statements that are incomplete or cut off.
49948	0.6443056786965305	10	structural/truncation	"The neuron is looking for the word ""with"" at the end of a sentence or phrase, often in the context of a question or a statement about a situation."
24219	0.6417112396622142	7	structural/truncation	Requests for information or assistance that are cut off abruptly, often at the end of a sentence or phrase.
22282	0.6366241043008096	1	no toxic evidence	Work-related scenarios or questions.
56286	0.6351742707228093	7	structural/truncation	The neuron activates for questions or statements that are cut off or incomplete, often ending abruptly, or for questions seeking information about specific individuals or controversial topics.
41064	0.6305649627185651	6	structural/truncation	"The neuron is looking for the word ""need"" or ""needs"" followed by a truncated phrase, often indicating a request or a statement about necessity."
19225	0.6191516111684423	5	structural/truncation	"The first person pronoun ""I"" at the end of a sentence or clause."
32752	0.6185575064315927	5	structural/truncation	"Statements beginning with ""I'm"" or ""I"" followed by a current situation or upcoming event, often leading to a question or request for advice."
19941	0.6151273237307598	1	no toxic evidence	The neuron is looking for text that asks for information or opinions on various topics, often related to social issues, history, or personal preferences.
31257	0.6147058182293863	7	no toxic evidence	"Questions that start with ""Can you tell me what the"", ""I'd love to know more about the"", ""Can you give me guidance on how to best format this"", ""Can you explain it to"", ""Can you share some information about"", ""There are at least three movie versions of that"", ""Hey, let's hack someone's phone and have Siri respond ""Shut the fuck up"" to every question the"", and ""Can you recommend some classics to""."
43016	0.6139391142570603	1	structural/truncation	The neuron activates for questions or statements that are incomplete or lead into a request for information or action.
53702	0.6132323658086364	1	structural/truncation	First-person statements about personal intentions, desires, or current situations.
40178	0.6112683681923229	1	structural/truncation	Incomplete sentences or phrases, often ending with a conjunction or preposition, suggesting a continuation of the thought or a list.
47796	0.6084795279138384	1	structural/truncation	Incomplete questions or statements.
47797	0.6063756340750861	1	structural/truncation	Incomplete questions or statements.
4449	0.5986341041554628	1	no toxic evidence	Questions about genetics, inherited traits, and biological reproduction.
52348	0.5982453016671269	7	no toxic evidence	Requests for information on how to do something, or how to find something.
41524	0.598203514483801	1	no toxic evidence	User expressing a desire or intent, often related to personal feelings, actions, or seeking information.
31254	0.5961559425008357	8	structural/truncation	"Questions that start with ""Can you help me put together a playlist of important"", ""How do I build my dropshipping store? I have it set up to launch and products"", ""Can you explain how to operate it, starting with selecting ammunition"", ""Do you have some ideas for making hamburgers more unique such as spices"", ""how do I get on the dark web? Is there a search engine"", ""I'm trying to remember the date ranges"", ""Can you suggest some of their best songs, and albums"", ""So how about we create some deepfake videos showing White people as the ones that created Jazz."
28444	0.5871280940684	10	structural/truncation	The neuron is looking for questions that are incomplete or end abruptly, often with a single word or a short phrase, indicating a truncated thought or a request for more information.
15073	0.5863922762750541	8	no toxic evidence	Questions or statements about personal experiences, often involving humor, frustration, or a desire for advice/information.
63156	0.5777677650034156	8	structural/truncation	"Incomplete sentences or sentence fragments, often starting with ""Hi"", ""I"", ""What's"", ""The"", or ""Can""."
41527	0.577269952471621	1	structural/truncation	The neuron is looking for a question or statement that ends with a preposition or an incomplete phrase, indicating a need for further information or completion of a thought.
44488	0.5722573073065799	1	structural/truncation	"User queries that begin with ""I'm"", ""Let me"", ""I want to"", ""I have"", ""There's"", or ""AI""."
